Date,HomeTeam,AwayTeam,FTHG,FTAG
2023-06-27 13:00:00+00:00,Atlètic Club d'Escaldes,Buducnost Podgorica,0.0,3.0
2023-06-27 19:00:00+00:00,Tre Penne,Breidablik,1.0,7.0
2023-06-30 19:00:00+00:00,Buducnost Podgorica,Breidablik,0.0,5.0
2023-07-11 15:00:00+00:00,FC Urartu,Zrinjski,0.0,1.0
2023-07-11 15:30:00+00:00,Lincoln Red Imps FC,Qarabag,1.0,2.0
2023-07-11 16:00:00+00:00,FK Zalgiris Vilnius,Struga,0.0,0.0
2023-07-11 18:00:00+00:00,Olimpija Ljubljana,Valmiera / BSS,2.0,1.0
2023-07-11 18:00:00+00:00,Raków Częstochowa,Flora Tallinn,1.0,0.0
2023-07-11 18:00:00+00:00,Hamrun Spartans,Maccabi Haifa,0.0,4.0
2023-07-11 18:45:00+00:00,Shamrock Rovers,Breidablik,0.0,1.0
2023-07-11 18:45:00+00:00,KI Klaksvik,Ferencvarosi TC,0.0,0.0
2023-07-11 18:45:00+00:00,Partizani,Bate Borisov,1.0,1.0
2023-07-11 18:45:00+00:00,Ballkani,Ludogorets,2.0,0.0
2023-07-12 14:00:00+00:00,FC Astana,Dinamo Tbilisi,1.0,1.0
2023-07-12 16:00:00+00:00,HJK helsinki,Larne,1.0,0.0
2023-07-12 17:00:00+00:00,BK Hacken,The New Saints,3.0,1.0
2023-07-12 17:30:00+00:00,Farul Constanta,Sheriff Tiraspol,1.0,0.0
2023-07-12 18:30:00+00:00,Slovan Bratislava,Swift Hesperange,1.0,1.0
2023-07-18 15:00:00+00:00,Struga,FK Zalgiris Vilnius,1.0,2.0
2023-07-18 17:00:00+00:00,Sheriff Tiraspol,Farul Constanta,3.0,0.0
2023-07-18 17:00:00+00:00,Flora Tallinn,Raków Częstochowa,0.0,3.0
2023-07-18 17:00:00+00:00,Maccabi Haifa,Hamrun Spartans,2.0,1.0
2023-07-18 18:00:00+00:00,The New Saints,BK Hacken,0.0,2.0
2023-07-18 18:00:00+00:00,Bate Borisov,Partizani,2.0,0.0
2023-07-18 18:00:00+00:00,Zrinjski,FC Urartu,2.0,3.0
2023-07-18 19:15:00+00:00,Breidablik,Shamrock Rovers,2.0,1.0
2023-07-19 15:00:00+00:00,Valmiera / BSS,Olimpija Ljubljana,1.0,2.0
2023-07-19 16:00:00+00:00,Qarabag,Lincoln Red Imps FC,4.0,0.0
2023-07-19 16:00:00+00:00,Ferencvarosi TC,KI Klaksvik,0.0,3.0
2023-07-19 16:00:00+00:00,Dinamo Tbilisi,FC Astana,1.0,2.0
2023-07-19 18:00:00+00:00,Ludogorets,Ballkani,4.0,0.0
2023-07-19 18:00:00+00:00,Swift Hesperange,Slovan Bratislava,0.0,2.0
2023-07-19 18:30:00+00:00,Larne,HJK helsinki,2.0,2.0
